Parent Category,Name,Display Name,Explaining Text,Supported On,Type,Label,Registry Key,Value Name,Possible Values
Features,DeviceControlEnabled,Device Control,Enable or Disable Defender Device Control on this machine.Note: You must be enrolled as E3 or E5 in order for Device Control to be enabled.,At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender\Features,DeviceControlEnabled,Policy value:   1 (Enabled)   0 (Disabled)
Device Control,DeviceControl_PolicyGroups,Define device control policy groups,Please follow the device control policy groups xml schema to fill out the policy groups data. \R Alternatively you could use a file path containing the XML groups data.,At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender\Device Control\Policy Groups,,
Device Control,DeviceControl_PolicyGroups,Define device control policy groups,Please follow the device control policy groups xml schema to fill out the policy groups data. Alternatively you could use a file path containing the XML groups data.    ,At least Windows Server 2016  Windows 10 Version 1607,textBox,Define the policy groups here,Software\Policies\Microsoft\Windows Defender\Device Control\Policy Groups,PolicyGroups (required),
Device Control,DeviceControl_PolicyRules,Define device control policy rules,Please follow the device control policy rules xml schema to fill out the policy rules data.Alternatively you could use a file path containing the XML rules data.    ,At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender\Device Control\Policy Rules,,
Device Control,DeviceControl_PolicyRules,Define device control policy rules,Please follow the device control policy rules xml schema to fill out the policy rules data.Alternatively you could use a file path containing the XML rules data.    ,At least Windows Server 2016  Windows 10 Version 1607,textBox,Define the policy rules here,Software\Policies\Microsoft\Windows Defender\Device Control\Policy Rules,PolicyRules (required),
Device Control,DeviceControl_DefaultEnforcement,Select Device Control Default Enforcement Policy,Default Allow: Choosing this default enforcement  will Allow any operations to occur on the attached devices if no policy rules are found to match.Default Deny: Choosing this default enforcement  will Deny any operations to occur on the attached devices if no policy rules are found to match.Default Enforcement will establish what decision should be made during the Device Control access checks when none of the policy rules match.    ,At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender\Device Control,,
Device Control,DeviceControl_DefaultEnforcement,Select Device Control Default Enforcement Policy,Default Allow: Choosing this default enforcement  will Allow any operations to occur on the attached devices if no policy rules are found to match.Default Deny: Choosing this default enforcement  will Deny any operations to occur on the attached devices if no policy rules are found to match.Default Enforcement will establish what decision should be made during the Device Control access checks when none of the policy rules match.    ,At least Windows Server 2016  Windows 10 Version 1607,dropdownList,Select Device Control Default Enforcement Policy,Software\Policies\Microsoft\Windows Defender\Device Control,DefaultEnforcement (required),"List items:      ""1"" = ""Default Allow""      ""2"" = ""Default Deny"""
Device Control,DeviceControl_DataDuplicationRemoteLocation,Define Device Control evidence data remote location,Define evidence file remote location  where Device Control service will move evidence data captured.When configuring this setting  ensure that Device Control is Enabled and that the provided path is a remote path the user can access.    ,At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender\Device Control,,
Device Control,DeviceControl_DataDuplicationRemoteLocation,Define Device Control evidence data remote location,Define evidence file remote location  where Device Control service will move evidence data captured.When configuring this setting  ensure that Device Control is Enabled and that the provided path is a remote path the user can access.    ,At least Windows Server 2016  Windows 10 Version 1607,textBox,Define the Device Control data duplication remote location.,Software\Policies\Microsoft\Windows Defender\Device Control,DataDuplicationRemoteLocation (required),
Device Control,DeviceControl_DataDuplicationLocalRetentionPeriod,Set the retention period for files in the local device control cache,This policy setting determines how long device control retains files for evidence in its local cache on the device. Device control keeps a file in its local cache only if it is unable to upload the file to a designated network share or Azure storage. By default  device control retains files in its local cache for 60 days.    ,At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender\Device Control,,
